"comparison","num_taxa"
"treatment_1_vs_treatment_2",699
"treatment_1_vs_treatment_3",328
"treatment_1_vs_treatment_4",786
"treatment_1_vs_treatment_5",538
"treatment_2_vs_treatment_1",699
"treatment_2_vs_treatment_3",747
"treatment_2_vs_treatment_4",545
"treatment_2_vs_treatment_5",596
"treatment_3_vs_treatment_1",328
"treatment_3_vs_treatment_2",747
"treatment_3_vs_treatment_4",742
"treatment_3_vs_treatment_5",521
"treatment_4_vs_treatment_1",786
"treatment_4_vs_treatment_2",545
"treatment_4_vs_treatment_3",742
"treatment_4_vs_treatment_5",628
"treatment_5_vs_treatment_1",538
"treatment_5_vs_treatment_2",596
"treatment_5_vs_treatment_3",521
"treatment_5_vs_treatment_4",628
