"comparison","num_taxa"
"treatment_1_vs_treatment_2",27
"treatment_1_vs_treatment_3",21
"treatment_1_vs_treatment_4",31
"treatment_1_vs_treatment_5",20
"treatment_2_vs_treatment_1",27
"treatment_2_vs_treatment_3",27
"treatment_2_vs_treatment_4",25
"treatment_2_vs_treatment_5",21
"treatment_3_vs_treatment_1",21
"treatment_3_vs_treatment_2",27
"treatment_3_vs_treatment_4",32
"treatment_3_vs_treatment_5",23
"treatment_4_vs_treatment_1",31
"treatment_4_vs_treatment_2",25
"treatment_4_vs_treatment_3",32
"treatment_4_vs_treatment_5",17
"treatment_5_vs_treatment_1",20
"treatment_5_vs_treatment_2",21
"treatment_5_vs_treatment_3",23
"treatment_5_vs_treatment_4",17
