taxon,intercept,timeT2,timeT3,Aatrex,Clarity,Hand,Powermax,Rsquared,Kingdom,Phylum,Class,Order,Family,Genus,Species
centroid.otu1103,-2.840369891,0.060009909,0.054437095,0.191325088,0.095892613,-0.034148858,-0.009691319,0.048963386,k:Bacteria,p:Chloroflexi,c:Chloroflexi,o:AKIW781,NA,NA,NA
centroid.otu1115,-2.79125115,0.165475023,0.172463232,-0.064208858,-0.039702546,-0.005155337,0.184393222,0.016799271,k:Bacteria,p:Acidobacteria,c:Sva0725,o:Sva0725,NA,NA,NA
centroid.otu1184,-2.84141384,0.142770382,0.06851007,-0.018216192,-0.028213311,-0.033748915,-0.056557043,0.030486766,k:Bacteria,p:Verrucomicrobia,c:[Pedosphaerae],o:[Pedosphaerales],NA,NA,NA
centroid.otu1508,-3.043669998,0.085878011,-0.012773984,0.032282544,-0.121288903,-0.22180338,-0.246195237,0.059395969,k:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:WD2101,NA,NA,NA
centroid.otu19,-1.618199635,0.11275783,0.045993469,-0.030636561,-0.109269618,-0.019503676,-0.056036559,0.038087656,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Kaistobacter,NA
centroid.otu193,-2.679463,0.037104746,0.041053038,0.001225392,-0.117151067,-0.006480145,-0.197901447,0.046790871,k:Bacteria,p:Acidobacteria,c:Solibacteres,o:Solibacterales,NA,NA,NA
centroid.otu20,-1.621206644,-0.006282667,-0.065991336,0.080497639,-0.046428251,0.074833761,0.077064969,0.034275783,k:Bacteria,p:Chloroflexi,c:Thermomicrobia,o:JG30-KF-CM45,NA,NA,NA
centroid.otu22,-1.808789375,-0.013180665,0.001707373,0.179209772,0.12417193,0.058176191,0.088688553,0.052347367,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,NA,NA,NA
centroid.otu259,-2.463136959,-0.048065773,-0.02837159,0.034618106,0.149940676,0.117080028,0.013530449,0.03352659,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,NA,NA,NA
centroid.otu414,-2.999423063,0.003894038,-0.02146629,0.1315313,0.043903982,0.173189455,0.062074009,0.035633955,k:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales,f:0319-6A21,NA,NA
centroid.otu530,-2.496029513,-0.161952495,-0.070501535,0.064296266,-0.028720004,0.013247632,-0.05411094,0.033859325,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:CCU21,NA,NA,NA
centroid.otu75,-1.985386461,-0.120316873,-0.081530827,0.081273115,-0.085010423,-0.04052017,-0.031397298,0.042414164,k:Bacteria,p:Acidobacteria,c:[Chloracidobacteria],o:RB41,NA,NA,NA
centroid.otu821,-2.607888776,0.038129674,-0.088182301,0.007300237,-0.052609842,0.038292627,0.005878906,0.014917312,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,NA,NA
centroid.otu114,-2.536213062,-0.009656949,-0.161129836,-0.043485115,0.001297269,0.079784943,0.037634877,0.05972753,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,NA,NA,NA
centroid.otu115,-2.623661832,-0.075023979,-0.052133202,-0.030901903,0.005882635,-0.021355238,0.029827751,0.012410478,k:Bacteria,p:Acidobacteria,c:[Chloracidobacteria],o:RB41,NA,NA,NA
centroid.otu1225,-3.131731063,0.090146107,-0.012439794,-0.148624222,-0.107577438,-0.130299067,0.054330046,0.112491438,k:Bacteria,p:Gemmatimonadetes,c:Gemm-1,NA,NA,NA,NA
centroid.otu155,-2.538676691,0.197297344,0.129486929,0.026789628,0.199195907,0.115210046,0.163684195,0.07538995,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,NA,NA,NA
centroid.otu2139,-3.248934576,0.044993777,0.049296835,0.117236004,0.193087373,0.035815527,0.111073026,0.01512649,k:Bacteria,p:Chloroflexi,c:Thermomicrobia,o:JG30-KF-CM45,NA,NA,NA
centroid.otu44,-2.33686811,0.018779403,-0.044188838,-0.129910748,-0.08459482,-0.045678094,-0.050943925,0.025339694,k:Bacteria,p:Acidobacteria,c:[Chloracidobacteria],o:RB41,f:Ellin6075,NA,NA
centroid.otu639,-3.097848296,0.079306759,0.090199756,-0.010784204,0.034872166,0.015527855,0.131844883,0.03780104,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:[Entotheonellales],f:[Entotheonellaceae],NA,NA
centroid.otu695,-3.142421337,0.068338268,0.081154393,0.165545736,0.029918936,-0.057576514,0.097012211,0.045847123,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,NA,NA,NA
centroid.otu95,-2.513459494,-0.04134706,-0.025244148,-0.094260926,0.047275068,-0.005019942,-0.136778252,0.03785115,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,NA,NA,NA
centroid.otu1014,-2.377026193,-0.081002887,-0.08330392,-0.322640497,-0.224347608,-0.242510744,-0.119020876,0.045278866,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Cellulomonadaceae,g:Oerskovia,NA
centroid.otu113,-2.267757972,-0.068255846,0.006436803,0.000884695,0.091571328,0.096626307,-0.097797216,0.05017791,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,f:RB40,NA,NA
centroid.otu119,-2.329185428,-0.018527764,-0.090826881,0.119173456,0.102564022,0.102517871,-0.019687382,0.03755498,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,NA,NA,NA
centroid.otu122,-2.169600986,0.018100221,-0.057888798,-0.04743938,-0.053659444,-0.024355624,-0.140670606,0.027493794,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,NA,NA
centroid.otu1447,-2.658974937,-0.022396898,0.022364758,-0.084371713,-0.140067675,-0.090280503,-0.150184167,0.024530028,k:Bacteria,p:Gemmatimonadetes,c:Gemm-3,NA,NA,NA,NA
centroid.otu1496,-2.775932317,-0.001944364,-0.00715012,0.092090365,0.004760122,-0.020597653,-0.005294517,0.010850612,k:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Acidimicrobiales,f:C111,NA,NA
centroid.otu1691,-2.908546921,0.053517107,0.085835602,0.21451378,0.11992028,0.179351595,0.069853248,0.018416563,k:Bacteria,p:Planctomycetes,c:Planctomycetia,o:Gemmatales,f:Gemmataceae,g:Gemmata,NA
centroid.otu18,-1.608658218,0.097718407,0.113586312,0.056407692,-0.129988304,-0.049660912,-0.023377118,0.069446368,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,NA,NA,NA
centroid.otu21,-1.713786084,-0.00102334,-0.017202297,-0.133214126,0.065153082,-0.057907459,0.052533795,0.067696781,k:Bacteria,p:Acidobacteria,c:[Chloracidobacteria],o:RB41,f:Ellin6075,NA,NA
centroid.otu23,-1.71984976,0.093602273,-0.003278151,-0.123736761,-0.103547948,-0.076013929,-0.18429895,0.053822155,k:Bacteria,p:Verrucomicrobia,c:[Spartobacteria],o:[Chthoniobacterales],f:[Chthoniobacteraceae],NA,NA
centroid.otu3,-1.037617173,-0.00072772,-0.028018569,-0.068181597,0.082314948,-0.047798025,0.038920098,0.043255977,k:Bacteria,p:Acidobacteria,c:[Chloracidobacteria],o:RB41,f:Ellin6075,NA,NA
centroid.otu37,-2.330161916,0.071809486,0.084357407,0.151571804,-0.050637737,0.061845501,0.039482479,0.048563212,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Couchioplanes,NA
centroid.otu376,-2.824617808,-0.030231924,0.300433835,0.038373453,-0.219002742,0.147655207,0.31110273,0.045096687,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,NA
centroid.otu42,-2.311817632,0.08622167,0.129395072,0.097753003,-0.072533909,-0.033196431,0.118126392,0.075858396,k:Bacteria,p:Acidobacteria,c:Acidobacteria-6,o:iii1-15,NA,NA,NA
