"","taxon","intercept","timeT2","timeT3","Aatrex","Clarity","Hand","Powermax","Rsquared","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","centroid.otu19",-0.651625015865748,0.0321890000574803,0.0285278829844005,0.265099124357077,0.149324830851708,0.13266757225923,0.183305571009147,0.0326206268225003,"d:Fungi",NA,NA,NA,NA,NA,NA
"2","centroid.otu221",-1.82331877277306,-0.0703359817025752,-0.124489863251822,-0.0397290887626939,0.25057150097311,0.130674945563527,0.199754440182579,0.00459301271298818,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pezizaceae",NA,NA
"3","centroid.otu253",-1.71971193853196,0.186437924310867,0.109035337427832,-0.364829517288748,-0.473758351358395,-0.244863217318643,-0.426881283051631,0.0744903958945078,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pyronemataceae",NA,NA
"4","centroid.otu114",-1.09362085006574,-0.257772376754551,0.207065296519967,-0.122847550611293,-0.579929450531949,-0.766063788650218,-0.19426076787564,0.0505062168941361,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pezizaceae","g:Iodophanus",NA
"5","centroid.otu205",-1.78361460117306,0.00218387130830434,0.000274519553911736,-0.0282884346294326,-0.125560811050823,-0.395889393837214,-0.269417044285644,0.0554124561928987,"d:Fungi",NA,NA,NA,NA,NA,NA
"6","centroid.otu219",-2.23246777638881,0.25818979206367,0.214569898277467,0.705449437985701,0.419183621619659,0.62949711153143,0.230482802476135,0.0813059450944427,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","f:Herpotrichiellaceae","g:Exophiala",NA
"7","centroid.otu227",-2.00812663566582,-0.12151159708507,0.0939732608378799,-0.0827887256298043,-0.0312083050724614,-0.00753651308982648,-0.0865230154343742,0.023691028721998,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales",NA,NA,NA
"8","centroid.otu236",-1.62819914720105,-0.00757112138418829,-0.487880590606365,-0.18764505088501,0.392049086416049,-3.17516310163354,0.584167264962992,0.0168497066974541,"d:Fungi","p:Chytridiomycota","c:Spizellomycetes","o:Spizellomycetales","f:Spizellomycetaceae","g:Spizellomyces","s:Spizellomyces_dolichospermus_SH1648420.08FU"
"9","centroid.otu291",-1.38794337635823,-0.664168713166148,-0.332528587795607,-0.703522021638572,-0.0019122909270298,-0.432855199330447,-3.57383913425528,0.00993023191625164,"d:Fungi","p:Chytridiomycota","c:Chytridiomycetes","o:Chytridiales","f:Chytridiaceae",NA,NA
"10","centroid.otu306",-2.53378893913426,-2.1556774105926,1.52367264936216,-2.47587225660112,-0.177409800898808,-0.693296897556867,1.13053365338994,0.0068192149761237,"d:Fungi","p:Chytridiomycota","c:Chytridiomycetes","o:Chytridiales","f:Chytridiaceae",NA,NA
