"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"centroid=otu1","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Actinomycetales","f:Micrococcaceae",NA,NA
"centroid=otu10","k:Bacteria","p:Acidobacteria","c:[Chloracidobacteria]","o:RB41",NA,NA,NA
"centroid=otu11","k:Bacteria","p:Acidobacteria","c:[Chloracidobacteria]","o:RB41",NA,NA,NA
"centroid=otu12","k:Bacteria","p:Acidobacteria","c:Acidobacteria-6","o:iii1-15",NA,NA,NA
"centroid=otu14","k:Bacteria","p:Chloroflexi","c:Ellin6529",NA,NA,NA,NA
"centroid=otu15","k:Bacteria","p:Acidobacteria","c:[Chloracidobacteria]","o:RB41","f:Ellin6075",NA,NA
"centroid=otu16","k:Bacteria","p:Acidobacteria","c:Acidobacteria-6","o:iii1-15",NA,NA,NA
"centroid=otu17","k:Bacteria","p:Acidobacteria","c:Acidobacteria-6","o:iii1-15",NA,NA,NA
"centroid=otu18","k:Bacteria","p:Acidobacteria","c:Acidobacteria-6","o:iii1-15",NA,NA,NA
"centroid=otu19","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Kaistobacter",NA
"centroid=otu20","k:Bacteria","p:Chloroflexi","c:Thermomicrobia","o:JG30-KF-CM45",NA,NA,NA
"centroid=otu21","k:Bacteria","p:Acidobacteria","c:[Chloracidobacteria]","o:RB41","f:Ellin6075",NA,NA
"centroid=otu22","k:Bacteria","p:Acidobacteria","c:Acidobacteria-6","o:iii1-15",NA,NA,NA
"centroid=otu23","k:Bacteria","p:Verrucomicrobia","c:[Spartobacteria]","o:[Chthoniobacterales]","f:[Chthoniobacteraceae]",NA,NA
"centroid=otu24","k:Bacteria","p:Chloroflexi","c:Thermomicrobia","o:JG30-KF-CM45",NA,NA,NA
"centroid=otu25","k:Bacteria","p:Planctomycetes","c:Planctomycetia","o:Planctomycetales","f:Planctomycetaceae","g:Planctomyces",NA
"centroid=otu26","k:Bacteria","p:Acidobacteria","c:Acidobacteria-6","o:iii1-15",NA,NA,NA
"centroid=otu27","k:Bacteria","p:Chloroflexi","c:Ellin6529",NA,NA,NA,NA
"centroid=otu28","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Nitrosomonadales","f:Nitrosomonadaceae",NA,NA
"centroid=otu29","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhodospirillales","f:Rhodospirillaceae","g:Skermanella",NA
"centroid=otu3","k:Bacteria","p:Acidobacteria","c:[Chloracidobacteria]","o:RB41","f:Ellin6075",NA,NA
"centroid=otu4","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Actinomycetales","f:Geodermatophilaceae",NA,NA
"centroid=otu7","k:Bacteria","p:Acidobacteria","c:Acidobacteria-6","o:iii1-15",NA,NA,NA
"centroid=otu8","k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Alteromonadales","f:Alteromonadaceae","g:Cellvibrio",NA
"centroid=otu9","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhodospirillales","f:Rhodospirillaceae","g:Skermanella",NA
