"G150SG","G122SG","G137SG","G163SG","G171SG","G146SG","G173SG","G169SG","G145SG","G123SG","G128SG","G121SG","G156SG","G153SG","G159SG","G172SG","G180SG","G133SG","G143SG","G160SG","G164SG","G125SG","G176SG","G160SG.1","G136SG","G178SG","G171SG.1","G141SG","G172SG.1","G159SG.1","G149SG","G129SG","G138SG","G169SG.1","G141SG.1","G161SG","G130SG","G124SG","G155SG","G175SG","G131SG","G180SG.1","G168SG","G137SG.1","G123SG.1","G163SG.1","G140SG","G147SG","G134SG","G164SG.1","G125SG.1","G126SG","G143SG.1","G142SG","G147SG.1","G166SG","G151SG","G132SG","G139SG","G167SG","G146SG.1","G154SG","G157SG","G175SG.1","G158SG","G162SG","G129SG.1","G144SG","G174SG","G161SG.1","G130SG.1","G179SG","G155SG.1","G136SG.1","G178SG.1","G140SG.1","G127SG","G149SG.1","G170SG","G131SG.1","G151SG.1","G134SG.1","G126SG.1","G138SG.1","G122SG.1","G157SG.1","G135SG","G156SG.1","G176SG.1","G154SG.1","G150SG.1","G170SG.1","G124SG.1","G127SG.1","G121SG.1","G153SG.1","G144SG.1","G174SG.1","G132SG.1","G133SG.1","G166SG.1","G179SG.1","G139SG.1","G145SG.1","G162SG.1","G142SG.1","G148SG","G128SG.1","G167SG.1","G173SG.1","G158SG.1","G168SG.1","G135SG.1","G148SG.1"
10011,966,779,1686,901,727,5141,6377,1733,397,1221,4818,2104,5021,3767,16499,3503,2706,3703,2559,2862,5114,194,430,1299,1528,62,1517,2047,238,2656,1151,0,77,1105,6079,2913,835,2859,30,5485,2769,1673,782,522,6244,3694,2833,1104,311,5628,2464,1177,4957,15600,769,7507,2281,628,4361,3371,3283,2965,243,6969,2665,808,474,3909,1867,3214,4535,3450,3009,7055,4118,783,4015,8029,3435,2328,3563,1136,18,6577,681,2772,1679,964,2101,1725,1718,719,1183,860,2737,364,926,7601,4806,411,586,1206,8691,290,5342,9539,1484,4251,55,791,1380,12622,11416
1048,322,484,382,695,1054,237,755,102,100,822,782,300,941,531,313,316,742,1108,547,663,812,24,77,521,116,31,449,33,28,268,435,0,15,449,412,803,132,568,11,913,374,516,919,153,3383,457,166,71,85,751,581,212,595,997,53,894,279,158,404,4045,2065,749,132,599,854,258,121,975,107,757,388,576,1319,914,758,88,266,207,482,182,287,217,1,2009,99,267,200,216,1544,138,46,98,179,77,621,150,283,1211,1092,64,69,271,922,61,1088,1232,604,316,3,49,286,2225,1690
44,0,6,28,0,6,50,91,0,2,30,75,1,0,0,180,116,51,0,0,91,11,0,14,0,0,0,152,22,0,0,0,0,0,0,76,35,0,0,0,0,147,70,13,6,82,0,0,0,13,16,0,0,58,0,0,254,22,25,144,21,31,241,0,269,129,0,0,16,21,58,0,0,0,0,0,0,0,11,40,32,108,13,0,0,47,25,48,38,1,0,39,0,0,0,0,6,4,70,44,0,0,96,201,0,27,61,0,0,0,0,78,205,37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,8,0,1,14,0,0,0,0,2,3,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
